x,y,z,assignment,distance,assignmentNotUnique,distanceNotUnique,assignmentClass,distanceBoth,score,group,name
873,770,199,1241,46.7011777153425,1241,46.7011777153425,Ribosome,46.7011777153425,0.650721549987793,emoji,6
414,126,324,,,252,165.565696930252,,,0.624010443687439,emoji,6
536,81,321,,,140,246.002032511929,,,0.622712850570679,emoji,6
151,770,410,743,47.6445169982864,743,47.6445169982864,Ribosome,47.6445169982864,0.610007464885712,emoji,6
839,792,202,1385,79.0189850605537,818,23.7276210354094,Ribosome,79.0189850605537,0.600958049297333,emoji,6
450,42,361,,,252,260.946354640183,,,0.595273494720459,emoji,6
435,59,333,,,252,234.441890454756,,,0.593037724494934,emoji,6
837,24,261,,,340,493.467324146189,,,0.589184820652008,emoji,6
637,403,346,,,1357,190.391701499829,,,0.582064211368561,emoji,6
813,164,127,,,752,402.3791744114,,,0.576352775096893,emoji,6
832,905,392,1033,42.7668095606862,1033,42.7668095606862,Ribosome,42.7668095606862,0.572098791599274,emoji,6
312,76,138,,,340,258.870624057656,,,0.566992580890656,emoji,6
836,910,407,793,76.524505878836,1033,58.38664230798,Ribosome,76.524505878836,0.566302537918091,emoji,6
287,112,138,,,1645,240.222813238044,,,0.565996527671814,emoji,6
554,323,155,,,749,113.022121728447,,,0.564189612865448,emoji,6
434,885,425,781,74.9733285909063,781,74.9733285909063,Ribosome,74.9733285909063,0.563755333423615,emoji,6
851,25,161,,,752,497.630384924393,,,0.559921443462372,emoji,6
639,390,348,,,1357,200.728672590639,,,0.553294062614441,emoji,6
313,800,413,991,83.3186653757728,1215,75.0866166503725,Ribosome,83.3186653757728,0.550659775733948,emoji,6
912,743,193,803,68.4324484437025,561,30.886890422961,Ribosome,68.4324484437025,0.550541341304779,emoji,6
483,779,390,888,61.4328902136307,878,52.1536192416212,Ribosome,52.1536192416212,0.549729645252228,emoji,6
871,23,245,,,340,520.10479713227,,,0.546878039836884,emoji,6
878,24,231,,,340,524.115445298076,,,0.542129397392273,emoji,6
818,30,223,,,340,470.226541147988,,,0.538986444473267,emoji,6
642,422,347,,,1357,183.122909544382,,,0.538172841072083,emoji,6
433,877,405,1053,60.2494813255683,781,57.1139212451746,Ribosome,60.2494813255683,0.535017430782318,emoji,6
445,764,387,878,60.1830540933243,1134,52.4022900262956,Ribosome,73.7631344236401,0.532336890697479,emoji,6
808,825,204,1408,40.7062648740952,642,38.0919939094818,Ribosome,40.7062648740952,0.531431674957275,emoji,6
439,865,403,1598,86.0058137569781,781,55.5517776493246,Ribosome,79.0695896030832,0.531256794929504,emoji,6
304,898,401,1184,91.0549284772659,547,88.2949602185765,Ribosome,88.2949602185765,0.526986062526703,emoji,6
877,26,201,,,752,519.85478741664,,,0.526830494403839,emoji,6
897,26,197,,,752,536.664699789356,,,0.523602545261383,emoji,6
777,785,206,1175,77.2204636090719,1275,34.5832329315812,Ribosome,77.2204636090719,0.522243916988373,emoji,6
933,27,133,,,752,567.7922155155,,,0.521111905574799,emoji,6
320,117,138,,,752,220.240777332446,,,0.514949142932892,emoji,6
323,823,424,126,95.2680429105164,1215,86.3365507765975,Ribosome,95.2680429105164,0.514381766319275,emoji,6
752,17,253,,,340,430.120913232547,,,0.511936128139496,emoji,6
337,845,427,1005,114.947814246292,1215,98.9191589127202,Ribosome,114.947814246292,0.510984361171722,emoji,6
841,21,203,,,752,492.718986847473,,,0.510980784893036,emoji,6
874,83,119,,,752,490.910378786189,,,0.509033799171448,emoji,6
248,487,371,1056,127.502941142548,955,57.5325994545701,Ribosome,127.502941142548,0.504854619503021,emoji,6
750,15,232,,,340,427.243490295639,,,0.504227638244629,emoji,6
667,57,280,,,140,343.844441572057,,,0.502695918083191,emoji,6
750,17,205,,,340,423.915085836775,,,0.501806437969208,emoji,6
650,296,151,,,749,208.990430402925,,,0.501628518104553,emoji,6
