x,y,z,assignment,distance,assignmentNotUnique,distanceNotUnique,assignmentClass,distanceBoth,score,group,name
443,880,415,1273,80.4611707595658,781,62.8887907341205,Ribosome,62.8887907341205,0.341587454080582,emd3228,18
843,908,390,1033,44.328320518603,1033,44.328320518603,Ribosome,44.328320518603,0.322495847940445,emd3228,18
453,879,446,102,120.469913256381,781,92.2225568936364,Ribosome,120.469913256381,0.308647602796555,emd3228,18
871,735,198,652,43.1508980207828,99,37.3764631820615,Ribosome,43.1508980207828,0.298186659812927,emd3228,18
149,780,402,743,42.2610932182309,743,42.2610932182309,Ribosome,42.2610932182309,0.283405810594559,emd3228,18
762,702,197,1355,93.610896801601,913,71.1266476083331,Ribosome,93.610896801601,0.271932750940323,emd3228,18
440,69,324,,,252,223.546415761917,,,0.268892347812653,emd3228,18
330,97,140,,,340,232.010775611824,,,0.25539430975914,emd3228,18
357,822,404,875,73.769912566032,875,73.769912566032,Ribosome,73.769912566032,0.255137234926224,emd3228,18
323,19,98,,,752,312.34756282065,,,0.251441568136215,emd3228,18
273,503,372,472,94.0212741883453,955,51.9037570894439,Ribosome,84.2970936628304,0.241804003715515,emd3228,18
797,626,187,,,1120,126.305185958455,,,0.241704478859901,emd3228,18
644,430,350,,,1051,180.471604414656,,,0.229366451501846,emd3228,18
226,852,412,1474,86.4927742646749,346,50.0099990002,Ribosome,86.4927742646749,0.2242471575737,emd3228,18
316,803,404,1141,93.6429388688757,1215,67.8011799307357,Ribosome,93.6429388688757,0.220302581787109,emd3228,18
305,15,135,,,340,316.229347151715,,,0.219808951020241,emd3228,18
310,804,426,1295,127.302788657594,1215,84.8881617188168,Ribosome,127.302788657594,0.219633176922798,emd3228,18
813,759,199,620,39.6358423652128,653,37.5499667110372,Ribosome,39.6358423652128,0.214254409074783,emd3228,18
863,702,204,99,38.8587184554509,99,38.8587184554509,Ribosome,38.8587184554509,0.206450372934341,emd3228,18
639,392,355,,,1357,200.920382241325,,,0.204862400889397,emd3228,18
248,487,374,1579,108.963296572745,955,60.1082357085949,Ribosome,109.42577392918,0.201142579317093,emd3228,18
490,784,389,1134,58.6259328283994,878,51.7976833458795,Ribosome,58.6259328283994,0.194748058915138,emd3228,18
889,671,185,,,1457,68.2495421230062,,,0.193887069821358,emd3228,18
447,44,359,,,252,257.903082571729,,,0.193157210946083,emd3228,18
329,843,429,485,128.082004981184,1215,96.0885008728932,Ribosome,128.082004981184,0.190283760428429,emd3228,18
307,85,138,,,340,253.625708476093,,,0.189082980155945,emd3228,18
329,840,407,708,111.175536877498,1215,77.3692445355388,Ribosome,111.175536877498,0.185861095786095,emd3228,18
299,823,400,1215,55.1180551180827,1215,55.1180551180827,Ribosome,55.1180551180827,0.184803128242493,emd3228,18
98,899,257,694,28.3901391331568,763,12.5299640861417,Ribosome,55.299186250794,0.184417933225632,emd3228,18
877,634,189,,,1457,99.2219733728371,,,0.184263899922371,emd3228,18
94,903,273,763,11.8743420870379,763,11.8743420870379,Ribosome,11.8743420870379,0.182625502347946,emd3228,18
853,21,172,,,752,501.462860040502,,,0.178197756409645,emd3228,18
316,827,413,977,129.16655913974,1215,73.5934779718964,Ribosome,129.16655913974,0.177758693695068,emd3228,18
381,839,394,433,73.8376597678989,872,62.1369455316239,Ribosome,73.8376597678989,0.177751392126083,emd3228,18
246,846,407,1018,63.663176169588,346,47.1593044902064,Ribosome,63.663176169588,0.177695974707603,emd3228,18
267,556,325,1409,9,1409,9,Ribosome,9,0.177596747875214,emd3228,18
772,793,210,402,27.0924343682881,402,27.0924343682881,Ribosome,27.0924343682881,0.177371129393578,emd3228,18
285,112,144,,,1645,239.956246011643,,,0.176947802305222,emd3228,18
769,778,214,1275,30.4795013082563,1275,30.4795013082563,Ribosome,30.4795013082563,0.173866376280785,emd3228,18
300,826,425,508,97.4525525576421,1215,79.7809501071528,Ribosome,97.4525525576421,0.17294454574585,emd3228,18
789,861,326,1043,25.0199920063936,1328,8.24621125123532,Ribosome,8.24621125123532,0.172851100564003,emd3228,18
937,22,131,,,752,573.833599573953,,,0.171588927507401,emd3228,18
531,90,320,,,140,235.758350859519,,,0.170837908983231,emd3228,18
83,831,323,952,17.3781471969828,410,5.09901951359278,Ribosome,17.3781471969828,0.170826554298401,emd3228,18
782,776,294,161,7.68114574786861,161,7.68114574786861,Ribosome,7.68114574786861,0.170263424515724,emd3228,18
931,605,172,,,1457,125.111949868907,,,0.170200690627098,emd3228,18
914,627,185,,,1457,98.8888264668967,,,0.170107737183571,emd3228,18
466,505,302,347,10.4880884817015,195,7,Ribosome,10.4880884817015,0.169824436306953,emd3228,18
921,712,191,561,42.614551505325,1457,37.4299345444258,Ribosome,42.614551505325,0.168933108448982,emd3228,18
93,825,257,389,12.0415945787923,88,11.7473401244707,Ribosome,12.0415945787923,0.168324142694473,emd3228,18
488,860,315,883,9.2736184954957,1606,9.05538513813742,Ribosome,16.7928556237467,0.16686275601387,emd3228,18
917,638,184,,,1457,89.5544527089525,,,0.166177824139595,emd3228,18
296,866,251,317,7.81024967590665,728,7.48331477354788,Ribosome,7.48331477354788,0.166016072034836,emd3228,18
747,722,220,727,84.2674314311289,913,47.6340214552582,Ribosome,84.2674314311289,0.165784955024719,emd3228,18
374,420,286,1419,4.58257569495584,1419,4.58257569495584,Ribosome,4.58257569495584,0.165672615170479,emd3228,18
157,567,338,1548,20.3224014329016,1088,5.19615242270663,Ribosome,5.19615242270663,0.165381163358688,emd3228,18
803,857,242,1478,15.6843871413581,1408,12.8062484748657,Ribosome,15.6843871413581,0.165206894278526,emd3228,18
392,472,286,442,8.06225774829855,442,8.06225774829855,Ribosome,8.06225774829855,0.164763048291206,emd3228,18
840,803,206,642,30.5122926047847,818,20.3224014329016,Ribosome,30.5122926047847,0.163343906402588,emd3228,18
270,471,267,1335,11.1803398874989,1335,11.1803398874989,Ribosome,11.1803398874989,0.163268506526947,emd3228,18
140,586,300,1447,4.12310562561766,1447,4.12310562561766,Ribosome,4.12310562561766,0.163196608424187,emd3228,18
380,333,221,142,12.7671453348037,628,9.4339811320566,Ribosome,12.7671453348037,0.163190320134163,emd3228,18
299,912,252,134,6.08276253029822,134,6.08276253029822,Ribosome,6.08276253029822,0.163099408149719,emd3228,18
813,860,222,598,14.7986485869487,1385,13.856406460551,Ribosome,14.7986485869487,0.162356019020081,emd3228,18
808,883,330,1143,8.77496438739212,1143,8.77496438739212,Ribosome,8.77496438739212,0.162073463201523,emd3228,18
27,911,294,,,1446,50.0199960015992,,,0.16180482506752,emd3228,18
