x,y,z,assignment,distance,assignmentNotUnique,distanceNotUnique,assignmentClass,distanceBoth,score,group,name
445,887,426,781,73.2734604068895,781,73.2734604068895,Ribosome,73.2734604068895,0.432774782180786,emoji,19
441,876,407,1273,73.143694191639,781,56.098128311023,Ribosome,73.143694191639,0.428844600915909,emoji,19
764,701,193,242,93.5360892917809,913,75.352504935138,Ribosome,96.3846460801719,0.351154923439026,emoji,19
870,734,202,652,40.4227658628155,99,33.3016516106934,Ribosome,40.4227658628155,0.325748831033707,emoji,19
843,906,388,1033,42.485291572496,1033,42.485291572496,Ribosome,69.6419413859206,0.320570290088654,emoji,19
152,784,399,743,41.6173040933696,743,41.6173040933696,Ribosome,41.6173040933696,0.272769778966904,emoji,19
439,67,320,,,252,224.486079746607,,,0.261172235012054,emoji,19
320,17,111,,,752,312.584388605701,,,0.257335692644119,emoji,19
330,99,132,,,752,231.564245944835,,,0.255437791347504,emoji,19
356,821,406,875,75.0333259292163,875,75.0333259292163,Ribosome,110.186206033242,0.250351309776306,emoji,19
888,672,185,,,1457,68.0147042925278,,,0.226542294025421,emoji,19
274,505,372,1077,72.5603197346869,955,52.3545604508337,Ribosome,72.5603197346869,0.222277030348778,emoji,19
225,854,410,1018,74.3303437365925,346,48.0208288141719,Ribosome,83.9880943943843,0.213424518704414,emoji,19
310,805,430,1017,116.520384482716,1215,88.4364178379021,Ribosome,96.4209520799292,0.211106106638908,emoji,19
298,899,434,,,346,104.009614940158,,,0.206603556871414,emoji,19
796,619,194,,,1120,125.339538853468,,,0.205830246210098,emoji,19
322,898,405,1376,120.954536913669,1233,81.8657437515839,Ribosome,120.954536913669,0.205767825245857,emoji,19
319,808,404,945,110.208892563168,1215,68.1395626636978,Ribosome,95.5562661472287,0.202666833996773,emoji,19
321,801,416,1141,100.588269693837,1215,80.8084154033477,Ribosome,103.711137299713,0.20257830619812,emoji,19
634,431,352,,,1051,172.594901431068,,,0.198596000671387,emoji,19
298,819,401,1575,79.5361553005927,1215,55.8211429478115,Ribosome,74.0540343262945,0.19806943833828,emoji,19
864,700,200,99,42.9534631898291,99,42.9534631898291,Ribosome,42.9534631898291,0.194651708006859,emoji,19
22,911,348,1446,50.5667875190821,896,47.8957200593122,Ribosome,50.5667875190821,0.183572575449944,emoji,19
816,759,202,593,62.6338566591584,653,34.2928563989645,Ribosome,62.6338566591584,0.182571962475777,emoji,19
98,901,260,694,28.3725219182222,763,11.3137084989848,Ribosome,28.3725219182222,0.174327969551086,emoji,19
252,852,404,991,95.7183368012629,346,45.1774279923061,Ribosome,66.588287258346,0.171321541070938,emoji,19
878,638,183,,,1457,98.1325634027768,,,0.17075689136982,emoji,19
917,711,191,799,41.4004830889689,1457,37.3363094051889,Ribosome,41.4004830889689,0.169902414083481,emoji,19
445,45,354,,,252,255.056856406567,,,0.169602885842323,emoji,19
648,395,349,,,1357,204.281668291602,,,0.16925559937954,emoji,19
633,391,349,,,1357,195.994897892777,,,0.1683449447155,emoji,19
633,390,360,,,1357,199.258625911151,,,0.16815485060215,emoji,19
748,724,209,1489,84.9941174435031,1109,56.4535207050898,Ribosome,84.9941174435031,0.167070686817169,emoji,19
641,430,333,,,1357,175.433748178622,,,0.16694064438343,emoji,19
254,495,378,1037,101.616927723682,955,61.1310068623117,Ribosome,101.616927723682,0.166273236274719,emoji,19
492,784,393,1202,80.9629544915451,878,55.5967624956706,Ribosome,80.9629544915451,0.165566742420197,emoji,19
30,911,287,1403,89.7663634108011,1446,54.0370243444252,Ribosome,89.7663634108011,0.162391304969788,emoji,19
530,91,320,,,140,234.418429309643,,,0.160330638289452,emoji,19
263,555,327,1409,11.2249721603218,1011,10.6301458127347,Ribosome,11.2249721603218,0.159925401210785,emoji,19
329,842,404,1514,133.906683925785,1215,75.5976190101249,Ribosome,109.585582993385,0.156205728650093,emoji,19
274,473,260,66,30.8706980808663,1198,5.47722557505166,Ribosome,30.8706980808663,0.15532711148262,emoji,19
933,607,180,,,1457,120.170711906021,,,0.154432326555252,emoji,19
285,108,139,,,1645,244.364481870832,,,0.153601884841919,emoji,19
390,587,297,1444,20.5426385841741,89,4.58257569495584,Ribosome,20.5426385841741,0.152838662266731,emoji,19
156,910,273,320,39.5094925302768,31,39.1279950930277,Ribosome,39.5094925302768,0.151989609003067,emoji,19
391,474,289,442,8.30662386291808,442,8.30662386291808,Ribosome,25.2586618806302,0.15190689265728,emoji,19
765,785,248,727,13.5646599662505,1355,9.16515138991168,Ribosome,13.5646599662505,0.151865452528,emoji,19
89,824,247,733,10.295630140987,88,5.91607978309962,Ribosome,10.295630140987,0.151720255613327,emoji,19
786,775,295,161,5,161,5,Ribosome,5,0.151584595441818,emoji,19
145,855,299,720,24.7588368062799,1547,11.1803398874989,Ribosome,24.7588368062799,0.151533901691437,emoji,19
774,791,226,1275,14.5945195193264,1275,14.5945195193264,Ribosome,14.5945195193264,0.151027113199234,emoji,19
902,721,196,561,39.9374510954317,1457,35.6931365951495,Ribosome,39.9374510954317,0.150893121957779,emoji,19
435,880,337,1154,5.91607978309962,1154,5.91607978309962,Ribosome,5.91607978309962,0.149941146373749,emoji,19
781,859,340,1043,11.4017542509914,1043,11.4017542509914,Ribosome,11.4017542509914,0.149433180689812,emoji,19
313,87,136,,,340,249.371209244371,,,0.14918015897274,emoji,19
268,554,308,1074,46.0977222864644,906,10,Ribosome,46.0977222864644,0.148753732442856,emoji,19
464,585,290,1429,7.87400787401181,1429,7.87400787401181,Ribosome,7.87400787401181,0.148043721914291,emoji,19
18,911,404,,,896,56.1248608016091,Ribosome,56.2227711874824,0.147987425327301,emoji,19
904,619,176,,,1457,110.824185086108,,,0.146938964724541,emoji,19
422,882,357,1054,11.916375287813,1054,11.916375287813,Ribosome,11.916375287813,0.14637616276741,emoji,19
328,838,424,437,142.414886862294,1215,90.2995016597545,Ribosome,147.587262323007,0.146188586950302,emoji,19
428,736,305,1526,10.770329614269,1526,10.770329614269,Ribosome,10.770329614269,0.14594903588295,emoji,19
89,901,293,108,38.6264158316559,763,27.7488738510232,Ribosome,38.6264158316559,0.145928651094437,emoji,19
642,806,318,96,6.40312423743285,96,6.40312423743285,Ribosome,6.40312423743285,0.14587490260601,emoji,19
413,718,307,1300,8.06225774829855,1300,8.06225774829855,Ribosome,8.06225774829855,0.145850449800491,emoji,19
91,823,264,389,7.34846922834954,389,7.34846922834954,Ribosome,7.34846922834954,0.145747497677803,emoji,19
322,214,256,,,252,108.16653826392,,,0.145574241876602,emoji,19
27,912,376,1281,46.5725240887801,896,41.6653333119993,Ribosome,41.6653333119993,0.145160123705864,emoji,19
408,287,285,252,11.2249721603218,252,11.2249721603218,Ribosome,11.2249721603218,0.144962295889854,emoji,19
768,786,206,402,35.8189893771446,1275,32.7108544675923,Ribosome,58.0603134679792,0.144675984978676,emoji,19
270,720,338,1560,13.1529464379659,1560,13.1529464379659,Ribosome,13.1529464379659,0.14439532160759,emoji,19
818,808,247,139,8.94427190999916,139,8.94427190999916,Ribosome,8.94427190999916,0.143535971641541,emoji,19
513,587,309,210,13.6381816969859,368,11.4455231422596,Ribosome,13.6381816969859,0.143154472112656,emoji,19
122,897,285,363,10.6770782520313,363,10.6770782520313,Ribosome,10.6770782520313,0.143073171377182,emoji,19
522,647,323,1550,7.34846922834954,1550,7.34846922834954,Ribosome,7.34846922834954,0.142924070358276,emoji,19
432,310,179,752,14.3527000944073,749,13.4536240470737,Ribosome,14.3527000944073,0.142482504248619,emoji,19
491,858,311,883,10.0498756211209,883,10.0498756211209,Ribosome,10.0498756211209,0.142097800970078,emoji,19
388,332,207,142,5.09901951359278,142,5.09901951359278,Ribosome,5.09901951359278,0.142024531960487,emoji,19
469,511,284,181,8.60232526704263,277,8.12403840463596,Ribosome,8.60232526704263,0.141936853528023,emoji,19
157,567,333,1048,79.4040301244213,1088,9.05538513813742,Ribosome,79.4040301244213,0.141878679394722,emoji,19
459,866,299,499,9.48683298050514,499,9.48683298050514,Ribosome,27.9284800875379,0.141738533973694,emoji,19
467,504,303,1096,28.7054001888147,195,7.34846922834954,Ribosome,28.7054001888147,0.141589760780334,emoji,19
123,882,289,1,39.319206502675,363,12.4096736459909,Ribosome,39.319206502675,0.141584903001785,emoji,19
248,645,290,1434,16.3707055437449,870,11.916375287813,Ribosome,16.3707055437449,0.141415268182755,emoji,19
47,827,316,1577,10.3440804327886,1577,10.3440804327886,Ribosome,10.3440804327886,0.141318246722221,emoji,19
331,617,280,388,12.4096736459909,388,12.4096736459909,Ribosome,21.4709105535839,0.141075879335403,emoji,19
480,903,430,116,84.7230783199005,781,81.6088230524127,Ribosome,106.273232754067,0.140732228755951,emoji,19
667,719,321,1226,44.5645599103144,1085,15.52417469626,Ribosome,44.5645599103144,0.139664933085442,emoji,19
350,858,400,77,88.2269800004511,530,69.2675970421957,Ribosome,88.2269800004511,0.139458388090134,emoji,19
395,523,298,185,7.48331477354788,185,7.48331477354788,Ribosome,7.48331477354788,0.139324992895126,emoji,19
350,756,316,1078,27.5862284482674,945,10.0498756211209,Ribosome,10.0498756211209,0.139129862189293,emoji,19
883,771,197,1241,48.9285192909003,1241,48.9285192909003,Ribosome,48.9285192909003,0.138881653547287,emoji,19
513,777,295,149,9.4339811320566,149,9.4339811320566,Ribosome,9.4339811320566,0.138877481222153,emoji,19
425,809,347,1465,17.4928556845359,433,16.4012194668567,Ribosome,17.4928556845359,0.138407945632935,emoji,19
451,441,268,541,64.9692234831232,1502,10.0498756211209,FAS,34.7131099154196,0.138136029243469,emoji,19
312,554,221,785,6.16441400296898,785,6.16441400296898,Ribosome,6.16441400296898,0.138040646910667,emoji,19
379,825,333,197,38.8329756778952,1331,18.5472369909914,Ribosome,38.8329756778952,0.138029634952545,emoji,19
803,722,204,131,57.1489282489182,653,48.3528696149463,Ribosome,57.1489282489182,0.137680664658546,emoji,19
755,613,186,,,1620,105.123736615476,,,0.137607529759407,emoji,19
154,760,335,1500,4.58257569495584,1500,4.58257569495584,Ribosome,4.58257569495584,0.137564271688461,emoji,19
83,836,322,410,7.07106781186548,410,7.07106781186548,Ribosome,7.07106781186548,0.137452006340027,emoji,19
386,837,399,485,83.9523674472614,872,61.5548535860496,Ribosome,83.9523674472614,0.137348249554634,emoji,19
921,742,286,1311,38.405728739343,295,9.53939201416946,Ribosome,38.405728739343,0.13721963763237,emoji,19
467,882,348,1589,6.16441400296898,1589,6.16441400296898,Ribosome,6.16441400296898,0.137205928564072,emoji,19
145,588,271,71,53.5537113559835,218,16.3095064303001,Ribosome,66.4906008395172,0.13708584010601,emoji,19
352,492,261,43,9.8488578017961,1581,9.64365076099295,Ribosome,19.3390796058137,0.136927276849747,emoji,19
754,790,297,555,27.3861278752583,1545,11.916375287813,Ribosome,27.3861278752583,0.136627227067947,emoji,19
416,904,432,1053,90.890043459116,1054,89.2244361147774,Ribosome,90.890043459116,0.136625587940216,emoji,19
130,872,352,782,23.4093998214393,901,14.8660687473185,Ribosome,23.4093998214393,0.136538416147232,emoji,19
926,734,298,324,14.7986485869487,198,9.53939201416946,Ribosome,14.7986485869487,0.136449232697487,emoji,19
140,591,295,1447,7.54983443527075,1447,7.54983443527075,Ribosome,7.54983443527075,0.13642854988575,emoji,19
400,672,249,510,9.89949493661167,510,9.89949493661167,Ribosome,9.89949493661167,0.136232376098633,emoji,19
180,838,331,408,9.69535971483266,408,9.69535971483266,Ribosome,9.69535971483266,0.136188149452209,emoji,19
169,887,322,1207,28.1780056072107,307,11.7473401244707,Ribosome,32.3882694814033,0.135596826672554,emoji,19
426,666,303,421,67.1565335615233,1297,31.1448230047949,Ribosome,67.1565335615233,0.135411843657494,emoji,19
755,750,320,543,18.6815416922694,1471,11.5758369027902,Ribosome,18.6815416922694,0.135168448090553,emoji,19
832,802,234,1410,14.6969384566991,642,10.4880884817015,Ribosome,14.6969384566991,0.13496758043766,emoji,19
829,786,206,642,37.4833296279826,818,23.0434372436058,Ribosome,37.4833296279826,0.134915217757225,emoji,19
46,881,348,1468,11.1803398874989,1468,11.1803398874989,Ribosome,64.4127316607517,0.134886145591736,emoji,19
451,699,336,366,10.3440804327886,366,10.3440804327886,Ribosome,10.3440804327886,0.134825855493546,emoji,19
391,579,270,1487,6.48074069840786,1487,6.48074069840786,Ribosome,6.48074069840786,0.13480444252491,emoji,19
791,849,316,1004,11.8321595661992,1004,11.8321595661992,Ribosome,11.8321595661992,0.134777203202248,emoji,19
199,890,288,705,6.40312423743285,705,6.40312423743285,Ribosome,6.40312423743285,0.134732186794281,emoji,19
43,843,260,75,9.89949493661167,75,9.89949493661167,Ribosome,9.89949493661167,0.13418610394001,emoji,19
295,648,295,199,11.7898261225516,359,8.30662386291808,Ribosome,11.7898261225516,0.134130582213402,emoji,19
378,898,357,1233,15.9373774505092,1233,15.9373774505092,Ribosome,15.9373774505092,0.133850529789925,emoji,19
177,785,311,511,11.2249721603218,1293,9.89949493661167,Ribosome,11.2249721603218,0.13379667699337,emoji,19
427,463,295,154,5.09901951359278,154,5.09901951359278,Ribosome,5.09901951359278,0.133594200015068,emoji,19
209,662,325,928,36.8917334913934,1229,9.16515138991168,Ribosome,36.8917334913934,0.133518904447556,emoji,19
299,443,312,1617,8.54400374531753,1617,8.54400374531753,Ribosome,40.7553677446297,0.133005827665329,emoji,19
584,631,317,1149,19.6468827043885,1122,7.48331477354788,Ribosome,19.6468827043885,0.132625684142113,emoji,19
523,732,297,1513,26.5329983228432,1513,26.5329983228432,Ribosome,26.5329983228432,0.132561326026917,emoji,19
306,436,289,734,6.16441400296898,734,6.16441400296898,Ribosome,6.16441400296898,0.132453501224518,emoji,19
434,838,305,1598,20.8566536146142,926,10.2469507659596,Ribosome,10.2469507659596,0.132431611418724,emoji,19
165,568,302,503,11.8743420870379,503,11.8743420870379,Ribosome,11.8743420870379,0.13235354423523,emoji,19
429,796,330,976,20.8326666559997,1465,12,Ribosome,20.8326666559997,0.132183194160461,emoji,19
453,396,184,1266,32.1558703816271,1228,18.1107702762748,Ribosome,32.1558703816271,0.132006645202637,emoji,19
808,883,335,1459,7.07106781186548,1459,7.07106781186548,Ribosome,7.07106781186548,0.131707340478897,emoji,19
366,792,345,1636,10.4403065089106,1636,10.4403065089106,Ribosome,10.4403065089106,0.131706520915031,emoji,19
342,812,320,1512,15.5884572681199,1005,10.295630140987,Ribosome,15.5884572681199,0.131458550691605,emoji,19
475,775,325,576,11.7046999107196,1100,10.770329614269,Ribosome,11.7046999107196,0.131230548024178,emoji,19
423,549,262,119,11.2249721603218,119,11.2249721603218,Ribosome,11.2249721603218,0.131010428071022,emoji,19
251,500,260,11,7.54983443527075,11,7.54983443527075,Ribosome,7.54983443527075,0.130960658192635,emoji,19
847,753,202,620,45.3210767744986,653,44.7325384926901,Ribosome,45.3210767744986,0.130867943167686,emoji,19
534,781,254,730,11.1803398874989,293,6.40312423743285,Ribosome,11.1803398874989,0.130852609872818,emoji,19
245,552,233,424,13.9283882771841,629,12.2065556157337,Ribosome,13.9283882771841,0.130836084485054,emoji,19
702,673,222,1620,20.1494416796099,1620,20.1494416796099,Ribosome,20.1494416796099,0.130775317549706,emoji,19
601,885,304,1549,25.475478405714,202,5.91607978309962,Ribosome,13.1909059582729,0.130754709243774,emoji,19
299,446,260,124,16.0312195418814,226,13.9283882771841,Ribosome,16.0312195418814,0.130681186914444,emoji,19
69,696,315,951,14.1774468787578,946,5.3851648071345,Ribosome,5.3851648071345,0.130614399909973,emoji,19
615,762,313,974,3.60555127546399,974,3.60555127546399,Ribosome,3.60555127546399,0.130529627203941,emoji,19
414,702,252,120,9.53939201416946,120,9.53939201416946,Ribosome,9.53939201416946,0.130524054169655,emoji,19
669,790,325,1027,7,1027,7,Ribosome,7,0.130519703030586,emoji,19
349,536,254,1425,15.4272486205415,647,7.87400787401181,Ribosome,15.4272486205415,0.130464717745781,emoji,19
453,653,231,841,21.1187120819429,1274,8.48528137423857,Ribosome,21.1187120819429,0.130285292863846,emoji,19
419,539,322,968,11.7898261225516,886,10.0498756211209,Ribosome,11.7898261225516,0.130205556750298,emoji,19
277,471,220,1599,12.328828005938,1599,12.328828005938,Ribosome,12.328828005938,0.130163088440895,emoji,19
664,741,304,1452,43.9431450854397,1466,12.2474487139159,Ribosome,43.9431450854397,0.130004987120628,emoji,19
345,544,240,1318,13.0384048104053,615,6,Ribosome,13.0384048104053,0.129932820796967,emoji,19
756,823,275,46,5.3851648071345,46,5.3851648071345,Ribosome,5.3851648071345,0.129882290959358,emoji,19
61,704,338,1520,20.7364413533277,1039,10.0498756211209,Ribosome,20.7364413533277,0.129833579063416,emoji,19
399,764,339,1103,42.0238027789014,345,18.1383571472171,Ribosome,42.0238027789014,0.129762932658196,emoji,19
606,800,309,1211,12.2065556157337,1211,12.2065556157337,Ribosome,12.2065556157337,0.12969046831131,emoji,19
863,788,240,30,13.6014705087354,1397,8.60232526704263,Ribosome,13.6014705087354,0.129633545875549,emoji,19
402,580,253,755,29.6816441593117,90,13.0384048104053,Ribosome,29.6816441593117,0.129610523581505,emoji,19
841,726,203,653,49.5883050728698,99,43.8520238985614,Ribosome,49.5883050728698,0.129609316587448,emoji,19
94,835,300,206,11.5758369027902,707,9.53939201416946,Ribosome,11.5758369027902,0.129525125026703,emoji,19
593,671,301,1090,6.557438524302,1090,6.557438524302,Ribosome,37.5499667110372,0.129513084888458,emoji,19
322,759,258,677,13.6381816969859,1470,10.1980390271856,Ribosome,13.6381816969859,0.129422277212143,emoji,19
233,510,305,906,54.644304369257,963,9.69535971483266,Ribosome,54.644304369257,0.129416227340698,emoji,19
386,333,248,476,14,476,14,Ribosome,14,0.129389181733131,emoji,19
469,506,264,67,15.2643375224737,754,7.07106781186548,FAS,40.9389789809174,0.129325777292252,emoji,19
272,617,240,686,13.6381816969859,1614,12.8840987267251,Ribosome,13.6381816969859,0.129304960370064,emoji,19
296,864,256,728,9.4339811320566,728,9.4339811320566,Ribosome,9.4339811320566,0.129280060529709,emoji,19
173,753,306,1541,11.5758369027902,1541,11.5758369027902,Ribosome,11.5758369027902,0.129214659333229,emoji,19
323,420,194,1373,10.6301458127347,748,8.18535277187245,Ribosome,10.6301458127347,0.129204288125038,emoji,19
78,807,352,1587,7.87400787401181,1587,7.87400787401181,Ribosome,7.87400787401181,0.129021510481834,emoji,19
469,50,265,,,140,242.295274407076,,,0.12893158197403,emoji,19
432,637,325,1297,11.0905365064094,1150,8.30662386291808,Ribosome,11.0905365064094,0.128814160823822,emoji,19
341,575,204,630,23.388031127053,630,23.388031127053,Ribosome,23.388031127053,0.128764420747757,emoji,19
729,879,342,528,11.0453610171873,528,11.0453610171873,Ribosome,11.0453610171873,0.128751695156097,emoji,19
618,873,281,173,12.8062484748657,173,12.8062484748657,Ribosome,12.8062484748657,0.128692507743835,emoji,19
476,655,331,459,10.0498756211209,459,10.0498756211209,Ribosome,10.0498756211209,0.128687918186188,emoji,19
623,653,309,517,72.0416546173115,214,8.30662386291808,Ribosome,31.1448230047949,0.12859134376049,emoji,19
284,711,305,319,13.3790881602597,319,13.3790881602597,Ribosome,13.3790881602597,0.128584265708923,emoji,19
631,896,232,1324,9.2736184954957,1324,9.2736184954957,Ribosome,9.2736184954957,0.128377512097359,emoji,19
804,861,235,354,19.8494332412792,1408,9.2736184954957,Ribosome,19.8494332412792,0.128154829144478,emoji,19
430,350,285,1518,30.6104557300279,722,24.7184141886166,Ribosome,30.6104557300279,0.128102675080299,emoji,19
669,701,209,554,12.8062484748657,554,12.8062484748657,Ribosome,12.8062484748657,0.127949237823486,emoji,19
360,678,290,301,1.4142135623731,301,1.4142135623731,Ribosome,1.4142135623731,0.127946242690086,emoji,19
420,549,229,600,18.9208879284245,1531,9,Ribosome,18.9208879284245,0.127926647663116,emoji,19
830,736,303,156,15.0996688705415,156,15.0996688705415,Ribosome,15.0996688705415,0.127899989485741,emoji,19
479,784,306,191,5.74456264653803,191,5.74456264653803,Ribosome,5.74456264653803,0.127866178750992,emoji,19
384,333,263,245,28.2311884269862,476,9.4339811320566,Ribosome,28.2311884269862,0.127541616559029,emoji,19
305,903,287,134,36.6196668472011,1609,34.4383507154451,Ribosome,36.6196668472011,0.127523228526115,emoji,19
77,678,343,893,14.7309198626562,311,10.4403065089106,Ribosome,10.4403065089106,0.127402007579803,emoji,19
307,648,330,342,17.1464281994822,1099,12.4096736459909,Ribosome,17.1464281994822,0.127387583255768,emoji,19
467,870,263,1437,8.36660026534076,1437,8.36660026534076,Ribosome,8.36660026534076,0.127277448773384,emoji,19
43,774,269,1203,7.14142842854285,1203,7.14142842854285,Ribosome,7.14142842854285,0.127242982387543,emoji,19
827,733,282,474,26.1916017074176,257,9.8488578017961,Ribosome,26.1916017074176,0.127231404185295,emoji,19
375,418,278,1419,10.4880884817015,247,9,Ribosome,9,0.127177685499191,emoji,19
541,723,283,281,9.2736184954957,1513,8.54400374531753,Ribosome,9.2736184954957,0.127114921808243,emoji,19
911,799,248,684,8.77496438739212,684,8.77496438739212,Ribosome,8.77496438739212,0.127010896801949,emoji,19
233,691,321,953,9.48683298050514,1081,9.2736184954957,Ribosome,9.48683298050514,0.126942381262779,emoji,19
198,815,351,1265,15.2643375224737,891,7.61577310586391,Ribosome,15.2643375224737,0.126893520355225,emoji,19
394,395,218,1421,9.8488578017961,1421,9.8488578017961,Ribosome,9.8488578017961,0.126878991723061,emoji,19
777,803,271,241,7.68114574786861,241,7.68114574786861,Ribosome,7.68114574786861,0.126868396997452,emoji,19
721,738,199,296,47.8643917750973,804,46.7867502611583,Ribosome,47.8643917750973,0.126691669225693,emoji,19
820,878,307,399,5.91607978309962,399,5.91607978309962,Ribosome,5.91607978309962,0.126666024327278,emoji,19
313,630,308,1572,13.7477270848675,187,8.60232526704263,Ribosome,13.7477270848675,0.126591116189957,emoji,19
827,908,342,1381,21.5638586528478,1033,8.77496438739212,Ribosome,21.5638586528478,0.126486077904701,emoji,19
898,728,239,685,10.6770782520313,685,10.6770782520313,Ribosome,10.6770782520313,0.126434981822968,emoji,19
120,441,299,,,457,124.374434672082,,,0.12642714381218,emoji,19
378,387,231,1191,16.7630546142402,105,15.556349186104,FAS,29.034462281916,0.126392960548401,emoji,19
714,838,327,986,6.557438524302,986,6.557438524302,Ribosome,6.557438524302,0.126345604658127,emoji,19
788,852,246,37,28.6530975637888,1478,14.142135623731,Ribosome,28.6530975637888,0.126305922865868,emoji,19
335,898,297,521,36.4005494464026,1282,22.561028345357,Ribosome,36.4005494464026,0.126180380582809,emoji,19
32,815,368,1483,32.9089653438087,87,11.3578166916005,Ribosome,11.3578166916005,0.125971451401711,emoji,19
