x,y,z,assignment,distance,assignmentNotUnique,distanceNotUnique,assignmentClass,distanceBoth,score,group,name
858,911,426,,,942,82.2253002426869,,,0.406145125627518,emd3228,12
152,775,403,,,743,41.9165838302694,,,0.402961045503616,emd3228,12
841,911,404,,,1033,56.8330889535313,,,0.368454813957214,emd3228,12
440,887,426,,,781,74.3236167042482,,,0.361020117998123,emd3228,12
640,429,347,,,1051,177.471124411832,,,0.350700318813324,emd3228,12
278,503,369,,,955,48.7647413609464,,,0.348630517721176,emd3228,12
310,909,419,,,1233,101.612007164508,,,0.348577916622162,emd3228,12
312,797,420,,,1215,81.7863069223694,,,0.343976527452469,emd3228,12
309,15,131,,,340,315.304614618943,,,0.342320263385773,emd3228,12
445,868,403,,,781,52.8677595515452,Ribosome,59.3548650070068,0.332074016332626,emd3228,12
449,44,358,,,252,257.939915484207,,,0.32846337556839,emd3228,12
486,786,385,,,878,45.9891291502677,,,0.323730796575546,emd3228,12
438,65,331,,,252,228.652574881631,,,0.32369527220726,emd3228,12
773,785,207,1275,32.7566787083184,1275,32.7566787083184,Ribosome,32.7566787083184,0.323686867952347,emd3228,12
875,739,194,,,99,42.485291572496,,,0.317863941192627,emd3228,12
332,103,136,,,752,226.534765543834,,,0.317705661058426,emd3228,12
638,386,354,,,1357,203.982842415729,,,0.317619532346725,emd3228,12
320,15,101,,,752,316.400063211119,,,0.315901398658752,emd3228,12
813,751,196,653,40.5092582010582,653,40.5092582010582,Ribosome,40.5092582010582,0.313361763954163,emd3228,12
334,846,431,,,1215,100.900941521871,,,0.312983155250549,emd3228,12
800,623,181,,,1620,132.894695153719,,,0.310955435037613,emd3228,12
535,86,315,,,140,240.056243409748,,,0.310069680213928,emd3228,12
641,399,342,,,1357,195.184528075357,,,0.307736128568649,emd3228,12
251,491,368,,,955,53.3479146733966,,,0.305438607931137,emd3228,12
304,894,427,,,346,101.449494823779,,,0.304593563079834,emd3228,12
253,843,401,1018,57.9396237474839,346,45.0555213042752,Ribosome,57.9396237474839,0.30101090669632,emd3228,12
328,897,403,,,1233,76.4525996941896,,,0.299820244312286,emd3228,12
290,108,141,,,1645,241.547096856907,,,0.297441720962524,emd3228,12
308,80,135,,,340,257.955422505517,,,0.294358760118485,emd3228,12
221,851,413,,,346,52.1344415909483,,,0.293959975242615,emd3228,12
661,712,212,554,6.16441400296898,554,6.16441400296898,Ribosome,6.16441400296898,0.287480562925339,emd3228,12
859,696,204,,,99,43.7035467668243,,,0.287395298480988,emd3228,12
912,630,178,,,1457,99.6042167782067,,,0.286343067884445,emd3228,12
877,772,197,,,1241,46.2709412050371,,,0.285858482122421,emd3228,12
619,621,366,,,1137,39.8371685740842,Ribosome,39.8371685740842,0.28400918841362,emd3228,12
762,697,195,,,913,74.3908596535892,,,0.283166289329529,emd3228,12
307,819,402,,,1215,59.648973168027,,,0.282048642635345,emd3228,12
923,604,178,,,1457,122.80065146407,,,0.280941843986511,emd3228,12
457,888,437,,,781,83.1564790019395,,,0.280254423618317,emd3228,12
314,837,432,,,1215,91.5478017212866,,,0.279908120632172,emd3228,12
358,828,400,,,1636,72.4844810976805,,,0.277122884988785,emd3228,12
293,830,394,991,73.7766900856904,1215,48.6929152957594,Ribosome,73.7766900856904,0.274942457675934,emd3228,12
339,626,211,1305,2.82842712474619,1305,2.82842712474619,Ribosome,2.82842712474619,0.274519056081772,emd3228,12
382,830,398,,,872,63.9765582068933,,,0.274321138858795,emd3228,12
430,806,327,1465,3.74165738677394,1465,3.74165738677394,Ribosome,3.74165738677394,0.273977786302567,emd3228,12
330,16,131,,,340,306.661050673215,,,0.273622989654541,emd3228,12
880,630,181,,,1457,104.756861350462,,,0.272334069013596,emd3228,12
379,418,286,1419,2.44948974278318,1419,2.44948974278318,Ribosome,2.44948974278318,0.271769911050797,emd3228,12
825,577,181,,,99,164.07924914504,,,0.270351499319077,emd3228,12
668,827,231,1412,2.44948974278318,1412,2.44948974278318,Ribosome,2.44948974278318,0.269822627305985,emd3228,12
933,24,136,,,752,569.064144011903,,,0.268860161304474,emd3228,12
159,761,337,1500,4.12310562561766,1500,4.12310562561766,Ribosome,4.12310562561766,0.268771797418594,emd3228,12
887,449,163,,,1457,276.430823172815,,,0.268637269735336,emd3228,12
86,832,315,1455,4.24264068711929,1455,4.24264068711929,Ribosome,4.24264068711929,0.268380671739578,emd3228,12
798,853,236,1408,6.40312423743285,1408,6.40312423743285,Ribosome,6.40312423743285,0.268222093582153,emd3228,12
659,664,286,1479,2.23606797749979,1479,2.23606797749979,Ribosome,2.23606797749979,0.267776727676392,emd3228,12
602,33,124,,,752,317.92137392758,,,0.267633229494095,emd3228,12
325,841,407,,,1215,75.3724087448451,,,0.26600843667984,emd3228,12
342,506,313,740,3,740,3,Ribosome,3,0.263506263494492,emd3228,12
185,835,331,408,7.07106781186548,408,7.07106781186548,Ribosome,7.07106781186548,0.261926025152206,emd3228,12
768,80,304,,,140,414.286133004715,,,0.26117816567421,emd3228,12
147,367,279,,,163,161.486841569213,,,0.260304063558579,emd3228,12
831,742,312,1475,5.09901951359278,1475,5.09901951359278,Ribosome,5.09901951359278,0.260259985923767,emd3228,12
629,837,231,599,3,599,3,Ribosome,3,0.260059803724289,emd3228,12
342,820,418,,,875,89.5488693395958,,,0.259749710559845,emd3228,12
356,851,389,,,530,57.567351858497,,,0.259604096412659,emd3228,12
451,431,272,1502,4.12310562561766,1502,4.12310562561766,Ribosome,4.12310562561766,0.259557813405991,emd3228,12
928,709,194,799,35.6370593624109,799,35.6370593624109,Ribosome,35.6370593624109,0.258574217557907,emd3228,12
777,818,228,402,4.24264068711929,402,4.24264068711929,Ribosome,4.24264068711929,0.257922470569611,emd3228,12
569,646,281,1504,3.3166247903554,1504,3.3166247903554,Ribosome,3.3166247903554,0.257454335689545,emd3228,12
913,23,169,,,752,551.234977119558,,,0.257078438997269,emd3228,12
309,809,294,150,3.60555127546399,150,3.60555127546399,Ribosome,3.60555127546399,0.256311058998108,emd3228,12
636,806,316,96,3.60555127546399,96,3.60555127546399,Ribosome,3.60555127546399,0.255383968353272,emd3228,12
774,532,175,,,860,180.124956627337,,,0.254963904619217,emd3228,12
920,23,156,,,752,557.442373703327,,,0.254871517419815,emd3228,12
489,315,168,,,749,46.5832587954085,,,0.254163444042206,emd3228,12
842,794,202,818,23.9582971014219,818,23.9582971014219,Ribosome,23.9582971014219,0.253111571073532,emd3228,12
414,712,256,1415,12.6491106406735,120,7.14142842854285,Ribosome,12.6491106406735,0.25292107462883,emd3228,12
808,16,207,,,752,469.371920762203,,,0.252650558948517,emd3228,12
471,567,216,1411,1,1411,1,Ribosome,1,0.252369105815887,emd3228,12
777,708,199,,,1342,64.668384856899,,,0.252289146184921,emd3228,12
625,906,244,25,5.47722557505166,25,5.47722557505166,Ribosome,5.47722557505166,0.252150267362595,emd3228,12
66,663,263,1510,3,1510,3,Ribosome,3,0.251695334911346,emd3228,12
34,692,347,1406,4.58257569495584,1406,4.58257569495584,Ribosome,4.58257569495584,0.251659005880356,emd3228,12
913,746,201,,,561,23.6643191323985,,,0.251191258430481,emd3228,12
101,895,263,763,6.16441400296898,763,6.16441400296898,Ribosome,6.16441400296898,0.250834167003632,emd3228,12
854,25,169,,,752,500.064995775549,,,0.250628590583801,emd3228,12
552,162,135,,,752,183.581044773146,,,0.250043004751205,emd3228,12
912,792,241,684,4.24264068711929,684,4.24264068711929,Ribosome,4.24264068711929,0.249598771333694,emd3228,12
456,862,297,499,5.3851648071345,499,5.3851648071345,Ribosome,5.3851648071345,0.249144524335861,emd3228,12
788,892,254,1363,6.32455532033676,1363,6.32455532033676,Ribosome,6.32455532033676,0.248346969485283,emd3228,12
273,817,254,123,6.40312423743285,123,6.40312423743285,Ribosome,6.40312423743285,0.248323500156403,emd3228,12
682,710,268,392,4.12310562561766,392,4.12310562561766,Ribosome,4.12310562561766,0.248315587639809,emd3228,12
828,703,219,,,1485,49.1934955049954,,,0.247665196657181,emd3228,12
350,394,304,362,2.44948974278318,362,2.44948974278318,Ribosome,2.44948974278318,0.247456654906273,emd3228,12
188,826,314,965,3.16227766016838,965,3.16227766016838,Ribosome,3.16227766016838,0.247322916984558,emd3228,12
642,805,300,519,3,519,3,Ribosome,3,0.24689681828022,emd3228,12
817,164,124,,,752,406.440647573542,,,0.246675968170166,emd3228,12
907,22,186,,,752,546.836355777485,,,0.246665671467781,emd3228,12
89,815,256,733,4,733,4,Ribosome,4,0.246483415365219,emd3228,12
269,563,327,1409,6.78232998312527,1409,6.78232998312527,Ribosome,6.78232998312527,0.246200084686279,emd3228,12
450,469,298,579,5.74456264653803,579,5.74456264653803,Ribosome,5.74456264653803,0.246122494339943,emd3228,12
299,871,256,728,3.3166247903554,728,3.3166247903554,Ribosome,3.3166247903554,0.246067300438881,emd3228,12
736,871,324,1458,6.40312423743285,1458,6.40312423743285,Ribosome,6.40312423743285,0.246015667915344,emd3228,12
604,228,150,,,752,183.245736648905,,,0.245499536395073,emd3228,12
686,743,332,468,1,468,1,Ribosome,1,0.244824633002281,emd3228,12
893,820,256,1495,9.05538513813742,1495,9.05538513813742,Ribosome,9.05538513813742,0.244623586535454,emd3228,12
269,909,252,429,50.4876222454574,134,30.1662062579967,Ribosome,50.4876222454574,0.244472041726112,emd3228,12
892,669,188,,,1457,66.588287258346,,,0.244215488433838,emd3228,12
592,720,247,1622,3.74165738677394,1622,3.74165738677394,Ribosome,3.74165738677394,0.243987262248993,emd3228,12
20,810,327,483,7.48331477354788,483,7.48331477354788,Ribosome,7.48331477354788,0.243545368313789,emd3228,12
350,632,263,1519,3.16227766016838,1519,3.16227766016838,Ribosome,3.16227766016838,0.243094071745873,emd3228,12
789,732,294,1067,2.44948974278318,1067,2.44948974278318,Ribosome,2.44948974278318,0.243072897195816,emd3228,12
744,800,321,555,1.4142135623731,555,1.4142135623731,Ribosome,1.4142135623731,0.24279023706913,emd3228,12
524,681,235,1496,2.23606797749979,1496,2.23606797749979,Ribosome,2.23606797749979,0.242065459489822,emd3228,12
875,800,271,1618,3.3166247903554,1618,3.3166247903554,Ribosome,3.3166247903554,0.241959497332573,emd3228,12
814,876,307,399,4.35889894354067,399,4.35889894354067,Ribosome,4.35889894354067,0.241329088807106,emd3228,12
543,105,311,,,140,228.284909707146,,,0.241289988160133,emd3228,12
749,613,189,,,1620,100.349389634417,,,0.241265043616295,emd3228,12
628,907,227,1324,4.58257569495584,1324,4.58257569495584,Ribosome,4.58257569495584,0.240987196564674,emd3228,12
715,853,271,1237,1.4142135623731,1237,1.4142135623731,Ribosome,1.4142135623731,0.240673750638962,emd3228,12
750,843,278,106,1,106,1,Ribosome,1,0.240582749247551,emd3228,12
320,204,257,,,252,116.124932723339,,,0.240494623780251,emd3228,12
407,718,309,1300,2.23606797749979,1300,2.23606797749979,Ribosome,2.23606797749979,0.24042572081089,emd3228,12
251,767,323,907,17.4928556845359,1418,5.74456264653803,Ribosome,17.4928556845359,0.240229085087776,emd3228,12
421,737,306,1526,5.91607978309962,1526,5.91607978309962,Ribosome,5.91607978309962,0.240160509943962,emd3228,12
527,775,324,407,5.3851648071345,407,5.3851648071345,Ribosome,5.3851648071345,0.239828675985336,emd3228,12
932,833,244,387,4.12310562561766,387,4.12310562561766,Ribosome,4.12310562561766,0.239571526646614,emd3228,12
438,433,221,1508,4.12310562561766,1508,4.12310562561766,Ribosome,4.12310562561766,0.239535093307495,emd3228,12
454,793,301,1477,2.82842712474619,1477,2.82842712474619,Ribosome,2.82842712474619,0.23936839401722,emd3228,12
394,583,261,1487,5.47722557505166,1487,5.47722557505166,Ribosome,5.47722557505166,0.23935104906559,emd3228,12
565,680,318,430,4.12310562561766,430,4.12310562561766,Ribosome,4.12310562561766,0.239213049411774,emd3228,12
460,446,266,1498,0,1498,0,Ribosome,0,0.239181771874428,emd3228,12
819,869,213,1385,2.44948974278318,1385,2.44948974278318,Ribosome,2.44948974278318,0.23910428583622,emd3228,12
862,781,241,1397,4.12310562561766,1397,4.12310562561766,Ribosome,4.12310562561766,0.239008381962776,emd3228,12
651,228,151,,,749,226.790652364686,,,0.238284558057785,emd3228,12
94,827,248,88,3.46410161513775,88,3.46410161513775,Ribosome,3.46410161513775,0.237925589084625,emd3228,12
939,737,307,1311,31.3847096529504,324,16.1245154965971,Ribosome,31.3847096529504,0.237181633710861,emd3228,12
546,699,329,422,6.70820393249937,422,6.70820393249937,Ribosome,6.70820393249937,0.237104550004005,emd3228,12
555,819,314,1316,12.4096736459909,1316,12.4096736459909,Ribosome,12.4096736459909,0.236825972795486,emd3228,12
40,798,305,1432,4.89897948556636,1432,4.89897948556636,Ribosome,4.89897948556636,0.236803814768791,emd3228,12
280,491,322,955,2.23606797749979,955,2.23606797749979,Ribosome,2.23606797749979,0.236656188964844,emd3228,12
274,703,312,319,4.24264068711929,319,4.24264068711929,Ribosome,4.24264068711929,0.236570030450821,emd3228,12
834,17,213,,,340,490.102030193714,,,0.236475884914398,emd3228,12
320,616,285,388,3,388,3,Ribosome,3,0.236332610249519,emd3228,12
593,886,314,1317,3.16227766016838,1317,3.16227766016838,Ribosome,3.16227766016838,0.236238777637482,emd3228,12
893,748,290,336,1.73205080756888,336,1.73205080756888,Ribosome,1.73205080756888,0.236055001616478,emd3228,12
424,454,230,1515,1.4142135623731,1515,1.4142135623731,Ribosome,1.4142135623731,0.236041009426117,emd3228,12
480,684,211,1351,8.60232526704263,1351,8.60232526704263,Ribosome,8.60232526704263,0.235912531614304,emd3228,12
915,713,231,1457,4.69041575982343,1457,4.69041575982343,Ribosome,4.69041575982343,0.235896572470665,emd3228,12
